1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,agnews,FedProx,0,1.388425458679244,0.2506581421587063,0.5002096644049084,0.3785598591166258,0.3160080279671853
3,agnews,FedProx,1,1.6376206878141037,0.250407421336342,0.5006159878369162,0.3748609684061978,0.28589798263399774
4,agnews,FedProx,2,2.683880237304797,0.250407421336342,0.5000233870466788,0.3748609684061978,0.2690622442356849
5,agnews,FedProx,3,1.5507308202786327,0.24971793907484016,0.499163520449289,0.27748489737971554,0.2870157310654151
6,agnews,FedProx,4,2.258929799398818,0.24971793907484016,0.4995182914026298,0.27748489737971554,0.28625230731385276
7,agnews,FedProx,5,1.7444074372477125,0.24971793907484016,0.5001642565344356,0.27748489737971554,0.3116653570233468
8,agnews,FedProx,6,2.4271513662299133,0.24971793907484016,0.49934927316826133,0.27748489737971554,0.2864130513241167
9,agnews,FedProx,7,1.9143293892586701,0.24971793907484016,0.49905977601821033,0.27748489737971554,0.2889775591961321
10,agnews,FedProx,8,1.8462530930451075,0.2505014416447286,0.4998096018298726,0.3748164434585265,0.315982689073996
11,agnews,FedProx,9,2.889432509951867,0.250407421336342,0.49983895230816217,0.3748609684061978,0.31635401021593723
12,agnews,FedProx,10,1.9929946955076336,0.24921649743011157,0.49966201339643307,0.44301605194864635,0.31257158733769524
13,agnews,FedProx,11,1.913516647669587,0.2506581421587063,0.5006054010471014,0.3785598591166258,0.3683123499804906
14,agnews,FedProx,12,3.1537474701031343,0.24921649743011157,0.49950692648865697,0.44301605194864635,0.3110665893160246
15,agnews,FedProx,13,1.8585320961850647,0.250407421336342,0.5005796653399418,0.3748609684061978,0.2864291004224764
16,agnews,FedProx,14,1.9481928491664269,0.24921649743011157,0.4992417270267576,0.44301605194864635,0.3677814256748446
17,agnews,FedProx,15,1.9325251852955023,0.2506581421587063,0.5000648431168507,0.3785598591166258,0.31999137235573605
18,agnews,FedProx,16,3.4220848303015,0.24971793907484016,0.5003534903511558,0.27748489737971554,0.30800893189024264
19,agnews,FedProx,17,2.1160223690340043,0.2506581421587063,0.5005117017847792,0.3785598591166258,0.3568542443533379
20,agnews,FedProx,18,2.411285565318933,0.250407421336342,0.5007880165648155,0.3748609684061978,0.3677071471999422
21,agnews,FedProx,19,1.615017407445882,0.250407421336342,0.5003410228075432,0.3748609684061978,0.28341512613479203
22,agnews,FedProx,20,2.247551266094002,0.24971793907484016,0.5006370113015961,0.27748489737971554,0.3055570768373772
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,agnews,FedALA,0,1.388425458679244,0.2506581421587063,0.5002096644049084,0.3785598591166258,0.3160080279671853
